주차장관리번호,name,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,Latitude,longitude,데이터기준일자
134-1-000001,가야중복도로,공영,노상,부산광역시 부산진구 냉정로 223,부산광역시 부산진구 가야동 656-14,117,3,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,200,10,200,13,4700,50000,,,부산광역시 부산진구청,051-605-5881,35.15130998,129.0241527,2023-05-19
134-1-000002,가야공원진입로,공영,노상,부산광역시 부산진구 가야공원로 30-1,부산광역시 부산진구 가야동 596-7,38,3,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,200,10,200,13,4700,50000,,,부산광역시 부산진구청,051-605-5881,35.15072727,129.0297645,2023-05-19
134-1-000003,신부산빌딩 앞(소망빌딩),공영,노상,부산광역시 부산진구 자유평화로 3번길 14-21,부산광역시 부산진구 범천동 839-39,28,1,요일제,평일+토요일+공휴일,8:00,21:00,12:00,19:00,8:00,21:00,유료,10,500,10,500,13,15000,160000,,,부산광역시 부산진구청,051-605-5881,35.1422231,129.0618871,2023-05-19
134-1-000004,범천동신암로,공영,노상,부산광역시 부산진구 신암로 83,부산광역시 부산진구 범천동 1234-36,90,3,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,200,10,200,13,4700,50000,,,부산광역시 부산진구청,051-605-5881,35.14867928,129.0533226,2023-05-19
134-1-000005,경남공고 뒤,공영,노상,부산광역시 부산진구 전포대로 189번길 30,부산광역시 부산진구 전포동 870-1,27,2,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,300,10,300,13,8000,90000,,,부산광역시 부산진구청,051-605-5881,35.15371912,129.0634983,2023-05-19
134-2-000001,주례초등학교,공영,노외,부산광역시 부산진구 진사로61번길 28-7,부산광역시 부산진구 개금동 630-5,69,2,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,8000,90000,,,부산광역시 부산진구청,051-605-5881,35.14579543,129.0194537,2023-05-19
134-2-000002,유원오피스텔 뒤,공영,노외,부산광역시 부산진구 서면문화로 29-16,부산광역시 부산진구 부전동 474-97,12,1,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,700,10,700,13,21000,220000,,,부산광역시 부산진구청,051-605-5881,35.15973252,129.0551543,2023-05-19
134-2-000003,가야공원,공영,노외,부산광역시 부산진구 가야공원로 70,부산광역시 부산진구 가야동 484-8,39,3,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,200,10,200,24,4700,50000,,,부산광역시 부산진구청,051-605-5881,35.14721452,129.029831,2023-05-19
